Name,Year,Actors
Hamlet,1996,"Kenneth Branagh, Derek Jacobi, Julie Christie, Richard Briers, Michael Maloney, Kate Winslet, Billy Crystal, Gérard Depardieu, Robin Williams, Charlton Heston, Jack Lemmon, Rufus Sewell, Timothy Spall, Reece Dinsdale, Richard Attenborough, Nicholas Farrell, John Gielgud, Judi Dench, John Mills, Rosemary Harris, Brian Blessed, Ken Dodd, Rob Edwards, Jimi Mistry, Tom Szekeres"
American Beauty,1999,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari, Chris Cooper, Peter Gallagher, Allison Janney, Sam Robards, Barry Del Sherman, Amber Smith, Scott Bakula, Matthew Kimbrough, Sue Casey, Ara Celi, John Cho, Fort Atkinson, Kent Faulcon, Brenda Wehle, Lisa Cloud, Alison Faulk, Krista Goodsitt, Lily Houtkin, Carolina Lancaster, Ramona Leah, Chekesha Van Putten, Emily Zachary, Nancy Anderson, Reshma Gajjar, Stephanie Rizzo, Heather Joy Sher, Chelsea Hertford, Joel McCrary, Marissa Jaret Winokur, Dennis Anderson, Erin Cathryn Strubbe, Bruce Cohen, Elaine Corral Kendall, David C. Fisher, Tom Miller"
Twin Falls Idaho,1999,"Garrett Morris, Lesley Ann Warren, Michele Hicks, Michael Polish, Mark Polish, William Katt, Patrick Bauchau, Holly Woodlawn, Jon Gries, Teresa Hill, Sasha Alexander"
Traffic,2000,"Michael Douglas, Benicio del Toro, Don Cheadle, Catherine Zeta-Jones, Dennis Quaid, Benjamin Bratt, Erika Christensen, Topher Grace, Steven Bauer, Tomas Milian, Jsu Garcia, Luis Guzmán, Miguel Ferrer, Jacob Vargas, Clifton Collins Jr., Amy Irving, Majandra Delfino, Alec Roberts, Michael O'Neill, James Brolin, Albert Finney, D. W. Moffett, Peter Riegert, Mary Pat Gleason, James Pickens Jr., Salma Hayek, John Slattery, Yul Vazquez, Viola Davis, Corey Spears, Jack Conley, Yul Vazquez, Andrew Chavez, Michael Saucedo, Jose Yenque, Jose Yenque, Emilio Rivera, Russell G. Jones, Lorene Hetherington, Eric Collins, Beau Holden, Peter Stader, James Lew, Jeremy Fitzgerald, Russell Solberg, Don Snell, Enrique Murciano, Gary Cervantes, Leticia Bombardier, Carl Ciarfalio, Steven Lambert, Gilbert Rosales, Rick Avery, Mario Roberts, Eileen Weisinger, Keii Johnston, Mike Watson, Kurt D. Lott, Lincoln Simonds, Steve Tomaski, Buck McDancer, John Callery, Ousaun Elam, Brian Avery, Rena Sofer, Stacey Travis, Jennifer Barker, Dean Faulkner, Daniella Kuhn, Brandon Keener, George Blumenthal, Stephen Dunham, Margaret Travolta, Jewelle Bickford, Dave Hager, Tucker Smallwood, Marisol Padilla Sánchez, Víctor Quintero, Toby Holguin, Ramiro González, Elaine Kagan, Jimmy Ortega, Greg Boniface, Thomas Rosales Jr., Rudy M. Camacho, Vonte Sweet, Ed Breving, Eddie Velez, Craig N. Chretien, John Brown, Mike Siegel, Joel Torres, Stephen J. Rose, Kimber Fritz, Harsh Nayyar, Vincent M. Ward, Gregory Estevane, Alex Procopio, Rita Gomez, David Jensen"
Murder in the First,1995,"Christian Slater, Kevin Bacon, Gary Oldman, Embeth Davidtz, Mia Kirshner, R. Lee Ermey, William H. Macy, Brad Dourif, Kyra Sedgwick, Stephen Tobolowsky, Ben Slack, Stefan Gierasch, Alex Bookston, Richie Allan, Herb Ritts, Charles Boswell, David Michael Sterling, Michael Melvin, George Maguire, Nick Scoggin, Douglas Bennett, Joseph Richards, Julius Varnado, Tony Barr, Stuart Nisbet, Gary Ballard, Randy Pelish, Neil Summers, Sonny King, Eddie Bowz, Brian Leckner, Time Winters, James Keane, Lance Brady, Michael Merrins, Ray Quartermus, Lee Mathis, Wayne Parks, Warren Spottswood, Thomas Fenske, Robert Lee, Sheldon Feldner, Fred Franklin, Danny Kovacs, Joseph Lucas, William Hall, Bill Barretta, Randall Dudley, Wally Rose, Amanda Borden, Eve Brenner, Joseph Cole, Richard Kwong, Gary Lee Davis, Bundy Chanock, Tory Christopher, James Anthony Cotton, Charles Cyphers, Laird Macintosh, Mary Mackey, Theo Mayes, Dennis Pappalardo, Douglas W. Randall, Brian Shotwell, Joseph Quinn Simpkins, James A. Swan, Nicole Vigil"
The Apostle,1997,"Robert Duvall, Farrah Fawcett, Billy Bob Thornton, June Carter Cash, Miranda Richardson, John Beasley, Walton Goggins, Todd Allen, Mary Lynette Braxton, Rick Dial, Emery Hopkins, Jewell Jernigan, Billy Joe Shaver, Paul Bagget"
Mumford,1999,"Loren Dean, Hope Davis, Jason Lee, Alfre Woodard, Mary McDonnell, Zooey Deschanel, Martin Short, Jane Adams, Ted Danson, Pruitt Taylor Vince, David Paymer, Jason Ritter, Dana Ivey, Kevin Tighe, Elisabeth Moss, Kelly Monaco, Robert Stack, Kirk Fox, Scott N. Stevens, Eddie Allen, Rick Dial, Joy Carlin, Helene Cardona, Priscilla Barnes, Steven Sennett, Amanda Carlin, Randall King, Arell Blanton, Eddie McClintock, Molly Schaffer, Simon Helberg, Lucie Laurier, Sam Sako, Penny Safranek, David Doty, Pamela Paulshock, Kathryn Howell, Sulo Williams, Simone Kerrick, Barbara Tuss, Ronald B. Morefield, Dick Mallon, Gea Carr, Chase Allen, Bryan Close, James Hiser, Roger Oyama, Naomi Sample, Joe Voltierra, Ron Kaell, T.J. Blair, Charles Okun, Douglas Bennett, Krystee Clark, Natalie Hays, Holt McCallany, Julie Nunis"
Titanic,1997,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher, Gloria Stuart, Bill Paxton, Bernard Hill, David Warner, Victor Garber, Jonathan Hyde, Suzy Amis, Lewis Abernathy, Nicholas Cascone, Danny Nucci, Jason Barry, Ewan Stewart, Eric Braeden, Jonathan Phillips, Bernard Fox, Ioan Gruffudd, James Cameron"
Gossip,2000,"James Marsden, Lena Headey, Norman Reedus, Kate Hudson, Eric Bogosian, Edward James Olmos, Joshua Jackson, Sharon Lawrence, Marisa Coughlan"
Eyes Wide Shut,1999,"Tom Cruise, Nicole Kidman, Sydney Pollack, Sky du Mont, Todd Field, Christiane Kubrick, Katharina Kubrick, Leelee Sobieski, Thomas Gibson, Julienne Davis, Alan Cumming, Rade Šerbedžija, Marie Richardson, Leslie Lowe, Jackie Sawiris, Madison Eginton, Lisa Leone, Michael Doven, Mariana Hewett, Stewart Thorndike, Randall Paul, Louise J. Taylor, Kevin Connealy, Peter Benson, Vinessa Shaw, Stanley Kubrick, Dan Rollman, Gavin Parry, Chris Pare, Adam Lias, Christian Clarke, Kyle Whitcombe, Gary Goba, Florian Windorfer, Togo Igawa, Eiji Kusuhara, Sam Douglas, Angus MacInnes, Abigail Good, Abigail Good, Brian W. Cook, Leon Vitali, Carmela Marner, Fay Masterson, Phil Davies, Cindy Dolenc, Clark Hayes, Treva Etienne, Colin Angus, Karla Ashley, Kate Charman, James Demaria, Anthony Desergio, Janie Dickens, Laura Fallace, Vanessa Fenton, Georgina Finch, Peter Godwin, Joanna Heath, Lee Henshaw, Ateeka Poole, Adam Pudney, Sharon Quinn, Ben De Saumserez, Emma Lou Sharratt, Paul Spelling, Matthew Thompson, Dan Travers, Russell Trigg, Kate Whalin, Emilio D'Alessandro, Donna Ewin, Trés Hanley, Alexander Phillip Hobbs, Kurt Leitner, Taylor Murphy"
